year,no_of_overtakes,name
2017,39,British Grand Prix
2017,9,Hungarian Grand Prix
2017,42,Belgian Grand Prix
2017,38,Italian Grand Prix
2017,16,Singapore Grand Prix
2017,33,Malaysian Grand Prix
2017,19,Japanese Grand Prix
2017,44,United States Grand Prix
2017,26,Mexican Grand Prix
2017,37,Brazilian Grand Prix
2017,12,Abu Dhabi Grand Prix
2018,5,Australian Grand Prix
2018,62,Bahrain Grand Prix
2018,53,Chinese Grand Prix
2018,58,Azerbaijan Grand Prix
2018,13,Spanish Grand Prix
2018,4,Monaco Grand Prix
2018,15,Canadian Grand Prix
2018,52,French Grand Prix
2018,30,Austrian Grand Prix
2018,33,British Grand Prix
2018,66,German Grand Prix
2018,21,Hungarian Grand Prix
2018,30,Belgian Grand Prix
2018,44,Italian Grand Prix
2018,13,Singapore Grand Prix
2018,33,Russian Grand Prix
2018,60,Japanese Grand Prix
2018,31,United States Grand Prix
2018,36,Mexican Grand Prix
2018,52,Brazilian Grand Prix
2018,38,Abu Dhabi Grand Prix
2019,12,Australian Grand Prix
2019,73,Bahrain Grand Prix
2019,40,Chinese Grand Prix
2019,62,Azerbaijan Grand Prix
2019,26,Spanish Grand Prix
2019,2,Monaco Grand Prix
2019,30,Canadian Grand Prix
2019,28,French Grand Prix
2019,50,Austrian Grand Prix
2019,33,British Grand Prix
2019,94,German Grand Prix
2019,31,Hungarian Grand Prix
2019,63,Belgian Grand Prix
2019,45,Italian Grand Prix
2019,59,Singapore Grand Prix
2019,28,Russian Grand Prix
2019,58,Japanese Grand Prix
2019,46,Mexican Grand Prix
2019,61,United States Grand Prix
2019,71,Brazilian Grand Prix
2019,37,Abu Dhabi Grand Prix
2020,29,Austrian Grand Prix
2020,49,Styrian Grand Prix
2020,44,Hungarian Grand Prix
2020,26,British Grand Prix
2020,32,Spanish Grand Prix
2020,32,Belgian Grand Prix
2020,36,Italian Grand Prix
2020,19,Tuscan Grand Prix
2020,31,Russian Grand Prix
2020,41,Eifel Grand Prix
2020,69,Portuguese Grand Prix
2020,10,Emilia Romagna Grand Prix
2020,42,Turkish Grand Prix
2020,54,Bahrain Grand Prix
2020,51,Sakhir Grand Prix
2020,34,Abu Dhabi Grand Prix
2021,75,Bahrain Grand Prix
2021,42,Emilia Romagna Grand Prix
2021,45,Portuguese Grand Prix
2021,51,Spanish Grand Prix
2021,0,Monaco Grand Prix
2021,27,Azerbaijan Grand Prix
2021,60,French Grand Prix
2021,24,Styrian Grand Prix
2021,38,Austrian Grand Prix
2021,29,British Grand Prix
2021,17,Hungarian Grand Prix
2021,0,Belgian Grand Prix
2021,24,Dutch Grand Prix
2021,23,Italian Grand Prix
2021,94,Russian Grand Prix
2021,26,Turkish Grand Prix
2021,32,United States Grand Prix
2021,23,Mexico City Grand Prix
2021,65,São Paulo Grand Prix
2021,49,Qatar Grand Prix
2021,27,Saudi Arabian Grand Prix
2021,36,Abu Dhabi Grand Prix
2022,78,Bahrain Grand Prix
2022,32,Saudi Arabian Grand Prix
2022,34,Australian Grand Prix
2022,23,Emilia Romagna Grand Prix
2022,52,Miami Grand Prix
2022,48,Spanish Grand Prix
2022,13,Monaco Grand Prix
2022,23,Azerbaijan Grand Prix
2022,35,Canadian Grand Prix
2022,31,British Grand Prix
2022,67,Austrian Grand Prix
2022,33,French Grand Prix
2022,61,Hungarian Grand Prix
2022,74,Belgian Grand Prix
2022,23,Dutch Grand Prix
2022,58,Italian Grand Prix
2022,16,Singapore Grand Prix
2022,28,Japanese Grand Prix
2022,85,United States Grand Prix
2022,24,Mexico City Grand Prix
2022,77,São Paulo Grand Prix
2022,79,Abu Dhabi Grand Prix
2023,37,Bahrain Grand Prix
2023,36,Saudi Arabian Grand Prix
2023,29,Australian Grand Prix
2023,23,Azerbaijan Grand Prix
